dataset,model,perturbation,pct,seed,lr,hid_dim,dropout,train_frac,val_auroc,val_auprc,val_minrp,test_auroc,test_auprc,test_minrp
physionet_2012,gru,sparsified,10,10,0.0001,43,0.2,1.0,0.7476501111934767,0.3225683410181468,0.3784860557768924,0.7039139241037696,0.2560980385392362,0.2693548387096774
physionet_2012,gru,sparsified,50,10,0.0001,43,0.2,1.0,0.7826063750926613,0.38010187481616975,0.4166666666666667,0.7495066639684349,0.30215660459385313,0.3489208633093525
physionet_2012,gru,sparsified,90,10,0.0001,43,0.2,1.0,0.8031312083024462,0.4065460727252168,0.456,0.770366494671866,0.33946320738667,0.37117117117117115
physionet_2012,gru,sparsified,10,2,0.0001,43,0.2,1.0,0.7497982195845697,0.334783118822273,0.3805970149253731,0.7093673914868609,0.2633415267362908,0.27598566308243727
physionet_2012,gru,sparsified,50,2,0.0001,43,0.2,1.0,0.7978977020014826,0.3961171122731347,0.44223107569721115,0.760589423840136,0.32327170581893105,0.35628227194492257
physionet_2012,gru,sparsified,90,2,0.0001,43,0.2,1.0,0.799718309859155,0.41147233631106334,0.45353159851301117,0.7710815959971103,0.33399273424836373,0.3732142857142857
