dataset,model,perturbation,pct,seed,lr,hid_dim,dropout,train_frac,val_auroc,val_auprc,val_minrp,test_auroc,test_auprc,test_minrp
physionet_2012,gru,unbalanced,10,2023,0.0001,43,0.2,1.0,0.7389671824184488,0.23953193001327977,0.2907801418439716,0.7261813964515973,0.21810463414281456,0.26804123711340205
physionet_2012,gru,unbalanced,30,2023,0.0001,43,0.2,1.0,0.7317649066909422,0.4916686006906392,0.47836538461538464,0.7113537559397431,0.477789769610364,0.48674911660777387
physionet_2012,gru,unbalanced,50,2023,0.0001,43,0.2,1.0,0.7167229676400947,0.6679917772954164,0.6446280991735537,0.6916268433204106,0.6500557596624703,0.6110809342748507
physionet_2012,gru,unbalanced,70,2023,0.0001,43,0.2,1.0,0.7006504728529596,0.7880152026783598,0.759884281581485,0.702495429865488,0.8002026911417947,0.7441679626749611
physionet_2012,gru,unbalanced,90,2023,0.0001,43,0.2,1.0,0.7156313209228975,0.9373317122189575,0.9020581973030518,0.7319048655178523,0.9455194660587786,0.9085227272727273
