dataset,model,perturbation,pct,seed,lr,hid_dim,dropout,train_frac,val_auroc,val_auprc,val_minrp,test_auroc,test_auprc,test_minrp
physionet_2012,gru,subsampled,10,10,0.0001,43,0.2,1.0,0.6578249336870027,0.35824747381900474,0.3684210526315789,0.6476068221924671,0.23364619214223403,0.2663230240549828
physionet_2012,gru,subsampled,50,10,0.0001,43,0.2,1.0,0.7833557395221585,0.3755120395868881,0.41509433962264153,0.7600635832028779,0.3273440717612736,0.36185383244206776
physionet_2012,gru,subsampled,90,10,0.0001,43,0.2,1.0,0.8076948607505311,0.41717897476125154,0.45982142857142855,0.7801640119491124,0.3576781925478808,0.38086642599277976
physionet_2012,gru,subsampled,10,2,0.0001,43,0.2,1.0,0.751044776119403,0.322902713945494,0.38461538461538464,0.6919003765291583,0.2419457274547644,0.270042194092827
physionet_2012,gru,subsampled,50,2,0.0001,43,0.2,1.0,0.7917753353204173,0.3786066254088906,0.43410852713178294,0.7643153953346453,0.3133045958434808,0.3592057761732852
physionet_2012,gru,subsampled,90,2,0.0001,43,0.2,1.0,0.8058788947677836,0.3985769974713085,0.46255506607929514,0.7806586586502621,0.34317939435645267,0.3898916967509025
