dataset,target,model,perturbation,file,pct,seed,fold,start_time,end_time,test_accuracy@0.5,test_auprc,test_auroc,test_balanced_accuracy@0.5,test_f1@0.5,test_f2@0.5,test_minrp,test_precision@0.5,test_recall@0.5
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_40,40,2023,2,2026-03-28 14:16:36,2026-03-28 15:10:26,0.6659159159159159,0.5841837630221948,0.7264408694640393,0.6615638195260771,0.581897901659881,0.6187558278939657,0.566759388038943,0.5293447293447293,0.6460361613351877
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_50,50,2023,2,2026-03-28 14:17:36,2026-03-28 15:20:34,0.66991991991992,0.6665734842852952,0.7283884322595371,0.6678819329398475,0.6353331490185237,0.6442027360394708,0.6276836158192091,0.6210810810810811,0.6502546689303905
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_8,8,2023,2,2026-03-28 14:07:19,2026-03-28 14:36:36,0.8806306306306306,0.1864814241179898,0.7452787236231373,0.6233159397379655,0.2650231124807396,0.2990264255910987,0.2580645161290322,0.2227979274611398,0.3269961977186312
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_1,1,2023,2,2026-03-28 13:38:43,2026-03-28 14:38:06,0.9922422422422422,0.0249982818319818,0.8146198592523289,0.5,0.0,0.0,0.0380952380952381,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_2,2,2023,2,2026-03-28 13:50:06,2026-03-28 14:16:16,0.9842342342342344,0.0354753008131154,0.7249686212310162,0.5,0.0,0.0,0.0498533724340175,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_3,3,2023,2,2026-03-28 13:50:22,2026-03-28 14:07:13,0.974974974974975,0.047139176347885,0.6831027947351336,0.4997434581836839,0.0,0.0,0.08,0.0,0.0
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_10,10,2023,2,2026-03-28 14:07:36,2026-03-28 14:38:15,0.7937937937937938,0.2239649446511356,0.7358812119548948,0.6456878056082227,0.2847222222222222,0.3713768115942029,0.2712328767123287,0.205,0.4659090909090909
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_30,30,2023,2,2026-03-28 14:16:29,2026-03-28 15:18:32,0.6834334334334334,0.4959495951967202,0.7392587748446041,0.6720348276989586,0.5202882062950323,0.5899552803577571,0.490566037735849,0.4347275031685678,0.647780925401322
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_7,7,2023,2,2026-03-28 14:06:17,2026-03-28 14:42:27,0.9216716716716716,0.1646357790507209,0.7401833337181648,0.5828730748805099,0.2271604938271605,0.2100456621004566,0.2352941176470588,0.2628571428571428,0.2
physionet_2012,unbalanced,grud,unbalanced,physionet_2012_fold_2_unbalanced_6,6,2023,2,2026-03-28 14:01:45,2026-03-28 14:33:28,0.9502002002002002,0.147872078574345,0.7399467495923661,0.5163535166596721,0.0657276995305164,0.044529262086514,0.2346938775510204,0.3181818181818182,0.0366492146596858
